asn,name,info_type,info_scope,created
196906,WestNetwork AS196906,Cable/DSL/ISP,Regional,2020-03-05T13:40:09Z
61163,WestNetwork AS61163,Cable/DSL/ISP,Regional,2020-03-05T13:55:51Z
42905,Limanet,Cable/DSL/ISP,Europe,2020-03-19T13:06:51Z
12963,Volz,Cable/DSL/ISP,Regional,2020-04-09T17:41:59Z
57422,Pavutina.Net,Cable/DSL/ISP,Regional,2020-04-09T18:19:06Z
200000,Hosting Ukraine,(unset),Not Disclosed,2020-04-21T06:41:25Z
61034,PROTELE,(unset),Not Disclosed,2020-04-25T21:07:04Z
44291,Infomir,Cable/DSL/ISP,Europe,2020-05-03T16:31:27Z
41009,PE Vizit-Service,Cable/DSL/ISP,Regional,2020-05-22T08:59:47Z
211947,kremen-IX Route Servers,Route Server,Regional,2021-02-13T05:55:54Z
205673,Lanet-kvo,Cable/DSL/ISP,Regional,2020-06-04T08:42:44Z
16044,IPORT UNITED LLC,Cable/DSL/ISP,Regional,2020-07-13T09:34:42Z
207558,EXPRES,Cable/DSL/ISP,Regional,2020-07-15T07:42:49Z
51597,FASTTELECOM LTD,(unset),Not Disclosed,2020-07-15T10:38:49Z
49183,Galichina Telekommunication,Cable/DSL/ISP,Regional,2020-08-10T14:38:35Z
60159,Euroline Ukraine,(unset),Regional,2020-09-09T14:24:12Z
213024,StarTelecom,Enterprise,Europe,2020-10-24T14:13:19Z
31069,LanCity,Cable/DSL/ISP,Regional,2020-11-02T21:42:52Z
12687,URAN Association,Educational/Research,Europe,2017-05-05T19:06:55Z
25500,Igor Sikorsky Kyiv Polytechnic Institute,Educational/Research,Europe,2020-11-18T12:33:53Z
212397,URAN Association - Kharkov,Educational/Research,Regional,2021-04-07T12:29:47Z
59577,ISP LinkCom,Cable/DSL/ISP,Europe,2020-11-20T18:06:45Z
48964,Enterra,NSP,Regional,2020-12-08T15:16:13Z
42066,"PE ""NIKA KTB""",Content,Regional,2021-01-05T09:19:10Z
57049,Kvant-II,Cable/DSL/ISP,Not Disclosed,2021-01-05T14:55:47Z
56354,IT-Invest,Cable/DSL/ISP,Regional,2021-01-13T12:08:51Z
198356,ISP NETWORK,NSP,Europe,2021-01-29T17:31:40Z
41710,MIIT,(unset),Europe,2021-02-09T12:36:17Z
41165,UNTC,Cable/DSL/ISP,Regional,2021-02-09T14:11:15Z
49720,Gigacloud,Enterprise,Europe,2021-02-10T08:39:52Z
39928,1+1 Media Group,Enterprise,Regional,2021-02-24T15:41:29Z
44800,BELNETUA,Cable/DSL/ISP,Regional,2021-03-04T13:01:45Z
202353,Todor,Enterprise,Regional,2021-03-10T06:58:40Z
2864,Aljaska.net.ua,Cable/DSL/ISP,Regional,2021-03-14T14:32:09Z
30860,Virtual Systems AS30860,(unset),Not Disclosed,2021-04-08T09:04:53Z
6698,Virtual Systems AS6698,(unset),Not Disclosed,2024-02-08T14:47:53Z
56347,Mediana,Cable/DSL/ISP,Not Disclosed,2021-04-09T20:36:24Z
16066,T.E.S.T.,Cable/DSL/ISP,Europe,2021-04-14T06:23:06Z
49561,VECHIR TELECOM,(unset),Not Disclosed,2021-04-20T06:09:24Z
56834,MATRIXNET,NSP,Regional,2021-04-22T04:41:01Z
56525,Kolomiychuk Igor Oleksandrovich,Cable/DSL/ISP,Regional,2021-04-25T18:17:24Z
15595,Skyline Telecom,Cable/DSL/ISP,Europe,2021-04-28T12:38:00Z
206621,IT-Karkas,NSP,Regional,2021-04-29T07:05:50Z
47705,Masliy Kostyantin Mikhailovich,Cable/DSL/ISP,Europe,2021-04-30T06:52:47Z
212118,SobNet,Cable/DSL/ISP,Regional,2021-04-30T13:11:50Z
59514,Darnytsia.Net,NSP,Regional,2021-05-07T09:18:18Z
57197,Shaporenko Yuri Nikolaevich,Cable/DSL/ISP,Regional,2021-05-28T08:12:43Z
211509,RUDAKI,NSP,Europe,2021-06-15T15:56:47Z
210925,BEE-IX Route Servers,Route Server,Europe,2021-12-09T08:46:21Z
210461,RUDAKI-IX Route Servers,Route Server,Europe,2022-03-10T18:30:18Z
60754,Dianet Ltd.,Cable/DSL/ISP,Not Disclosed,2021-06-22T13:55:43Z
13032,Kyiv National Taras Shevchenko University,Cable/DSL/ISP,Not Disclosed,2021-07-09T19:17:42Z
61297,Ante Mediam LLC,NSP,Europe,2021-07-28T13:37:17Z
43633,Gigabit Ukraine,Cable/DSL/ISP,Europe,2021-08-08T04:56:10Z
39810,WiCOM,NSP,Global,2021-09-10T17:17:59Z
39513,ONECOM,(unset),Not Disclosed,2021-09-28T12:09:10Z
41737,MyTeleCom,Cable/DSL/ISP,Regional,2021-10-07T08:40:33Z
25150,DCTel,(unset),Not Disclosed,2021-11-16T11:51:07Z
210490,EuroNet,Cable/DSL/ISP,Europe,2021-11-29T19:21:07Z
42331,Freehost,(unset),Regional,2021-12-02T08:52:33Z
35586,VOM,(unset),Not Disclosed,2021-12-07T14:22:39Z
30779,TRK Cable TV,Cable/DSL/ISP,Regional,2021-12-21T14:29:03Z
43576,KuMIR TELECOM,Cable/DSL/ISP,Regional,2021-12-22T08:29:46Z
39049,Kyivski Merezhi,Cable/DSL/ISP,Not Disclosed,2021-12-22T08:50:35Z
31531,TOV Point,(unset),Not Disclosed,2021-12-24T14:52:16Z
34743,NASHNET,Cable/DSL/ISP,Regional,2022-01-05T14:05:49Z
24812,NPK Home-Net,Cable/DSL/ISP,Regional,2022-01-13T17:34:41Z
34359,Link Telecom Ukraine AS34359,(unset),Not Disclosed,2022-01-25T15:12:54Z
29013,Link Telecom Ukraine AS29013,(unset),Not Disclosed,2022-01-27T10:40:43Z
34840,KMIX Route Servers,Route Server,Europe,2022-03-24T11:39:25Z
207313,UKRAINIAN INTERNET NETWORKS,(unset),Not Disclosed,2022-03-29T21:10:41Z
57455,Filanco Ukraine,Route Server,Not Disclosed,2022-04-13T12:23:01Z
12773,Meshnet,NSP,Regional,2022-04-19T14:21:22Z
8870,Overseas Technologies,(unset),Not Disclosed,2022-04-26T12:21:09Z
44411,Eksi,Cable/DSL/ISP,Regional,2022-06-11T14:22:01Z
48229,Starlight Media,Enterprise,Europe,2022-07-06T09:36:14Z
24703,United Networks of Ukraine AS24703,Cable/DSL/ISP,Europe,2017-06-16T02:13:16Z
25236,United Networks of Ukraine AS25236,Network Services,Not Disclosed,2022-08-12T11:44:05Z
51903,WEARENET,(unset),Not Disclosed,2022-08-19T11:43:32Z
49038,EUROLINE TELECOM,Cable/DSL/ISP,Regional,2022-09-25T14:40:16Z
52074,Hrush Andriy Bogdanovich,Cable/DSL/ISP,Regional,2022-11-08T13:34:47Z
208440,GmhostGrupp,(unset),Not Disclosed,2022-12-08T12:46:36Z
49747,QHost,Content,Not Disclosed,2022-12-21T15:51:16Z
12593,Ukrcom,Cable/DSL/ISP,Regional,2023-01-03T07:27:37Z
56485,TheHost,Content,Europe,2023-01-12T09:25:03Z
212604,WINET,Cable/DSL/ISP,Europe,2023-01-12T11:10:29Z
35325,INCOMPLAST SERVICE,(unset),Regional,2023-01-27T13:51:49Z
41320,Schid-Service,(unset),Regional,2023-01-27T14:49:02Z
6702,APEXNCC,Cable/DSL/ISP,Not Disclosed,2023-02-03T13:04:25Z
56835,UTELS,Cable/DSL/ISP,Europe,2023-03-01T17:37:48Z
41631,Comfo,(unset),Not Disclosed,2023-03-10T15:23:52Z
207488,"SQ Telecom, LLC",Enterprise,Not Disclosed,2023-03-16T11:22:39Z
197738,Zastava Plus,(unset),Europe,2023-03-30T04:04:24Z
51742,Netlife ISP,Cable/DSL/ISP,Europe,2023-04-03T16:09:30Z
51993,Telekompaniya Region TV,Cable/DSL/ISP,Europe,2023-04-04T06:32:25Z
29074,Faust ISP,Cable/DSL/ISP,Europe,2023-04-05T09:58:05Z
44495,Palvi Telecom,(unset),Not Disclosed,2023-04-20T09:58:04Z
51273,SkyNet-Media LLC,(unset),Not Disclosed,2023-04-20T10:10:37Z
44837,ELS Telecom,Cable/DSL/ISP,Regional,2023-05-17T13:04:12Z
213389,Podolskie opticheskie seti Ltd.,Cable/DSL/ISP,Europe,2023-05-31T20:18:30Z
43133,Cosmonova Broadcast,Content,Global,2023-07-05T12:38:07Z
29574,Vinnytsia National Technical University,Educational/Research,Not Disclosed,2023-07-23T10:16:05Z
212372,COOLNET LLC,NSP,Regional,2020-11-14T19:31:18Z
29186,LLC Rivne Telecom,Cable/DSL/ISP,Regional,2023-08-15T19:22:51Z
49883,LLC Rivne-Telecom,Cable/DSL/ISP,Regional,2024-07-09T21:55:24Z
12662,NEMIcom,Cable/DSL/ISP,Regional,2023-09-22T19:52:28Z
50576,FREEEWAY Plus,Cable/DSL/ISP,Regional,2023-10-02T12:35:37Z
51367,UA OPTOLAN,Cable/DSL/ISP,Regional,2023-10-07T21:59:31Z
56522,"ISP ""3NET""",Cable/DSL/ISP,Regional,2023-11-09T14:07:32Z
39199,RadioNet (AS39199),NSP,Regional,2023-11-29T07:39:15Z
196863,HATANET,(unset),Not Disclosed,2023-11-30T15:57:08Z
215887,baragoon networks,Non-Profit,Europe,2023-12-09T08:32:48Z
56751,Ministry of Internal Affairs of Ukraine,(unset),Not Disclosed,2023-12-15T14:52:37Z
51264,eVPS,Cable/DSL/ISP,Not Disclosed,2023-12-19T02:01:18Z
