new_origin_asn,new_origin_holder,prefixes,addresses,sellers
50130.0,SYNDICATE-AS FOP Samoilenko Igor Olegovich,1,256,1
201591.0,AIYL-BANK-AS Aiyl Bank JSC,1,256,1
200431.0,inno_cf Inno Group LLP,1,256,1
200195.0,"VERASEL Verasel, Inc.",1,256,1
197726.0,UKRNAMES-AS Ukrainian Internet Names Center LTD,1,256,1
196977.0,HANGENKOVO-NET-AS Private Entrepreneur Bubley Igor Yurievich,1,256,1
6702.0,"APEXNCC-AS Science Production Company ""Trifle"" Ltd.",1,256,1
61248.0,IR-FUM Ferdowsi University of Mashhad,1,256,1
60860.0,ALTAIR-KIEV-AS TVCOM Ltd.,1,256,1
60777.0,GIN-AS PP 'Halytska informatsiina merezha',1,256,1
60631.0,PARVASYSTEM Vandad Vira Hooman LLC,1,256,1
59711.0,HZ-EU-AS HZ Hosting Ltd,1,256,1
56766.0,BAHILOV Bahilov Ilya Vitalievich PE,1,256,1
51264.0,eVPS Kutumova Olena,1,256,1
50949.0,agronet-ru-as Agronet LLC,1,256,1
50864.0,TeleNet-AS IT TeleNet Ltd.,1,256,1
397477.0,WGIX - WGIX,1,256,1
29128.0,DSIP-AS Digital Service Ltd.,2,2,1
